2015-07-27 17:01:43.0816|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: error: open("App_Data/aspnet-bug-tracker-20150726035306.mdf"): Permission denied
error: unable to index file App_Data/aspnet-bug-tracker-20150726035306.mdf
fatal: adding files failed
2015-07-26 16:01:20.2230|INFO|thread:58|GitEnvironment|Process set up with this SSH Agent info: 5868:/tmp/ssh-39WaOSDkMgh4/agent.5820
2015-07-26 16:01:20.2230|INFO|thread:58|GitEnvironment|PATH is C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\Austin\AppData\Local\Apps\2.0\GZK8WAOL.JD1\L4TY4NLC.385\gith..tion_317444273a93ac29_0002.000e_114545a4195e25d4;C:\Users\Austin\AppData\Local\GitHub\lfs-amd64_0.5.1;C:\Program Files (x86)\MSBuild\12.0\bin;C:\Windows\System32
2015-07-26 16:01:20.2230|INFO|thread:58|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'add --all "bin/System.Web.WebPages.xml" ', Working Directory: C:\Users\Austin\Documents\GitHub\bug-tracker\bug-tracker\
2015-07-26 16:01:20.2540|INFO|thread:56|GitEnvironment|Process set up with this SSH Agent info: 5868:/tmp/ssh-39WaOSDkMgh4/agent.5820
2015-07-26 16:01:20.2540|INFO|thread:56|GitEnvironment|PATH is C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\Austin\AppData\Local\Apps\2.0\GZK8WAOL.JD1\L4TY4NLC.385\gith..tion_317444273a93ac29_0002.000e_114545a4195e25d4;C:\Users\Austin\AppData\Local\GitHub\lfs-amd64_0.5.1;C:\Program Files (x86)\MSBuild\12.0\bin;C:\Windows\System32
2015-07-26 16:01:20.2540|INFO|thread:56|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'add --all "bin/WebGrease.dll" ', Working Directory: C:\Users\Austin\Documents\GitHub\bug-tracker\bug-tracker\
2015-07-26 16:01:20.3331|INFO|thread:58|GitEnvironment|Process set up with this SSH Agent info: 5868:/tmp/ssh-39WaOSDkMgh4/agent.5820
2015-07-26 16:01:20.3331|INFO|thread:58|GitEnvironment|PATH is C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\Austin\AppData\Local\Apps\2.0\GZK8WAOL.JD1\L4TY4NLC.385\gith..tion_317444273a93ac29_0002.000e_114545a4195e25d4;C:\Users\Austin\AppData\Local\GitHub\lfs-amd64_0.5.1;C:\Program Files (x86)\MSBuild\12.0\bin;C:\Windows\System32
2015-07-26 16:01:20.3331|INFO|thread:58|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'add --all "bug-tracker.csproj" ', Working Directory: C:\Users\Austin\Documents\GitHub\bug-tracker\bug-tracker\
2015-07-26 16:01:20.3631|INFO|thread:56|GitEnvironment|Process set up with this SSH Agent info: 5868:/tmp/ssh-39WaOSDkMgh4/agent.5820
2015-07-26 16:01:20.3631|INFO|thread:56|GitEnvironment|PATH is C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\Austin\AppData\Local\Apps\2.0\GZK8WAOL.JD1\L4TY4NLC.385\gith..tion_317444273a93ac29_0002.000e_114545a4195e25d4;C:\Users\Austin\AppData\Local\GitHub\lfs-amd64_0.5.1;C:\Program Files (x86)\MSBuild\12.0\bin;C:\Windows\System32
2015-07-26 16:01:20.3631|INFO|thread:56|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'add --all "bug-tracker.csproj.user" ', Working Directory: C:\Users\Austin\Documents\GitHub\bug-tracker\bug-tracker\
2015-07-26 16:01:20.3910|INFO|thread:56|GitEnvironment|Process set up with this SSH Agent info: 5868:/tmp/ssh-39WaOSDkMgh4/agent.5820
2015-07-26 16:01:20.3910|INFO|thread:56|GitEnvironment|PATH is C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\Austin\AppData\Local\Apps\2.0\GZK8WAOL.JD1\L4TY4NLC.385\gith..tion_317444273a93ac29_0002.000e_114545a4195e25d4;C:\Users\Austin\AppData\Local\GitHub\lfs-amd64_0.5.1;C:\Program Files (x86)\MSBuild\12.0\bin;C:\Windows\System32
2015-07-26 16:01:20.3910|INFO|thread:56|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Austin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'add --all "Content/bootstrap.css" ', Working Directory: C:\Users\Austin\Documents\GitHub\bug-tracker\bug-tracker\
2015-07-26 16:01:20.4231|INFO|thread:16|GitEnvironment|Process set up with this SSH Agent info: 5868:/tmp/ssh-39WaOSDkMgh4/agent.5820
